Day,Date,Park,Park Phone,Title,CC,Rating,Underwriter,Park Address,Location
Wed,07/18/2018,Brainerd Park,(312) 747-6027,Jumanji: Welcome to the Jungle,Y,PG-13,,1246 W. 92nd St.,"1246 W. 92nd St.
Chicago, IL
(41.726781, -87.65489)"
Wed,08/08/2018,Sherman Park,(312) 747-6672,Jumanji: Welcome to the Jungle,Y,PG-13,,1301 W. 52nd St.,"1301 W. 52nd St.
Chicago, IL
(41.799637, -87.657436)"
Sun,08/05/2018,Chippewa Park,(773) 731-0380,The Boss Baby,Y,PG,JCC Chicago,6748 N. Sacramento Ave.,"6748 N. Sacramento Ave.
Chicago, IL
(42.004271, -87.70461)"
Mon,07/16/2018,Skinner Park,(312) 746-5560,Cars 3,Y,G,The Museum of Science and Industry,1331 W. Monroe St.,"1331 W. Monroe St.
Chicago, IL
(41.880283, -87.659439)"
Mon,06/25/2018,Harold Washington Playlot Park,(312) 747-6620,A Raisin in the Sun,Y,NR,,5200 S. Hyde Park Blvd.,"5200 S. Hyde Park Blvd.
Chicago, IL
(41.801011, -87.584541)"
Sat,06/30/2018,Oz Park,(312) 742-7898,The Perfect Game,Y,PG,The Oz Park Baseball Association,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)"
Fri,08/03/2018,LeClaire Courts-Hearst Community Park,(312) 747-6438,Sherlock Gnomes,Y,PG,,5120 W. 44th St.,"5120 W. 44th St.
Chicago, IL
(41.812923, -87.751805)"
Thu,07/26/2018,Scottsdale Playground Park,(773) 284-1826,Jumanji: Welcome to the Jungle,Y,PG-13,,4637 W. 83rd St.,"4637 W. 83rd St.
Chicago, IL
(41.74203, -87.736251)"
Thu,06/21/2018,Archer Park,(773) 284-7029,Little Big League,Y,PG,,4901 S.Kilbourn Ave.,"4901 S.Kilbourn Ave.
Chicago, IL
(41.803471, -87.735651)"
Sat,07/28/2018,Humboldt Park,(312) 742-7549,Despicable Me 3,Y,PG,,1440 N. Sacramento,"1440 N. Sacramento
Chicago, IL
(41.902822, -87.701792)"
Fri,06/22/2018,La Villita Park,(312) 747-6608,Jumanji: Welcome to the Jungle,Y,PG-13,,2800 S. Sacramento Blvd.,"2800 S. Sacramento Blvd.
Chicago, IL"
Fri,07/13/2018,Palmer Park,(312) 747-6577,War for the Planet of the Apes,Y,PG-13,,201 E. 111th St.,"201 E. 111th St.
Chicago, IL
(41.692674, -87.616431)"
Thu,07/12/2018,Ping Tom Memorial Park,(312) 225-3121,The Boss Baby,Y,PG,,1700 S. Wentworth Ave.,"1700 S. Wentworth Ave.
Chicago, IL
(41.858719, -87.6319)"
Wed,07/18/2018,Rosenblum Park,(312) 747-6649,Jumanji: Welcome to the Jungle,Y,PG-13,,8050 S. Chapel,"8050 S. Chapel
Chicago, IL"
Fri,08/10/2018,Mayfair Park,(773) 685-3361,The Sandlot,Y,PG,,4550 W. Sunnyside Ave.,"4550 W. Sunnyside Ave.
Chicago, IL
(41.962597, -87.7422)"
Sat,07/07/2018,Indian Boundary Park and Cultural Center,(773) 764-0338,Looney Tunes Cartoon Pack #4,N,NR,,2500 W. Lunt Ave.,"2500 W. Lunt Ave.
Chicago, IL
(42.008606, -87.692536)"
Sun,07/15/2018,Jonquil Playlot Park,(312) 742-7816,Grease,Y,PG-13,The Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL
(41.929029, -87.653839)"
Tue,06/26/2018,Horner Park,(773) 478-3499,Wonder,Y,PG,JCC Chicago,2741 W. Montrose Ave.,"2741 W. Montrose Ave.
Chicago, IL
(41.961286, -87.697294)"
Tue,06/12/2018,"Bartelme, Mary Park",(312) 746-5962,The Martian,Y,PG-13,The Mary Bartelme Park Advisory Council,115 S. Sangamon St.,"115 S. Sangamon St.
Chicago, IL
(41.879642, -87.650804)"
Sat,06/30/2018,Ellis Park,(312) 656-0423,Justice League,Y,PG-13,,535 E. 35th St.,"535 E. 35th St.
Chicago, IL
(41.831144, -87.613689)"
Mon,06/18/2018,West Lawn Park,(773) 284-2803,Wonder,Y,PG,The St. Nicholas of Tolentine School,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL
(41.774943, -87.728278)"
Sat,08/18/2018,DuSable Museum of African American History,(312) 742-1134,Black Panther,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)"
Wed,06/27/2018,White (Willye B.) Park,(773) 262-5051,Hidden Figures,Y,PG,The Forest Preserve District of Cook County,7631 N. Ashland Ave.,"7631 N. Ashland Ave.
Chicago, IL
(42.020685, -87.670605)"
Wed,08/22/2018,Kedvale Park,(312) 742-7543,Coco,Y,PG,,4134 W. Hirsch St.,"4134 W. Hirsch St.
Chicago, IL
(41.906237, -87.730323)"
Sat,08/11/2018,Jensen Park,(312) 742-7054,Jumanji: Welcome to the Jungle,Y,PG-13,,4650 N. Lawndale Ave.,"4650 N. Lawndale Ave.
Chicago, IL
(41.9657, -87.720608)"
Tue,06/26/2018,Lincoln Park,(312) 742-5121,Trolls,Y,PG,,500-5700 N. Lake Shore Drive,"500-5700 N. Lake Shore Drive
Chicago, IL
(41.891466, -87.614332)"
Fri,09/07/2018,Ronan Park,(312) 742-7516,Ferdinand,Y,PG,Alderman Deb Mell,3000 W. Argyle St.,"3000 W. Argyle St.
Chicago, IL
(41.972114, -87.704547)"
Mon,07/23/2018,Calumet Park,(312) 747-6039,Ferdinand,Y,PG,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL
(41.718303, -87.531025)"
Sat,07/07/2018,Oz Park,(312) 742-7898,Jumanji: Welcome to the Jungle,Y,PG-13,The Lincoln Park Baseball Academy,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)"
Mon,07/16/2018,Cotton Tail Park,(312) 747-7640,Space Jam,Y,PG,The Greater South Loop Association,44 W. 15th St.,"44 W. 15th St.
Chicago, IL
(41.861908, -87.628949)"
Sat,09/01/2018,Piotrowski Park,(312) 745-4801,Moana,Y,PG,,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836817, -87.730787)"
Wed,08/15/2018,Shedd Park,(773) 762-3168,Coco,Y,PG,,3660 W. 23rd St.,"3660 W. 23rd St.
Chicago, IL
(41.849847, -87.716566)"
Mon,07/30/2018,Portage Park,(773) 685-7235,Finding Dory,Y,PG,The Museum of Science and Industry,4100 N. Long Ave.,"4100 N. Long Ave.
Chicago, IL
(41.955113, -87.762131)"
Sat,07/28/2018,Dawes Park,(312) 747-6108,Jumanji: Welcome to the Jungle,Y,PG-13,,8052 S. Damen Ave.,"8052 S. Damen Ave.
Chicago, IL
(41.747193, -87.673082)"
Mon,07/30/2018,Oakwood Beach,(312) 742-1134,James and the Giant Peach,Y,PG,,3900 S. Lake Shore Dr.,"3900 S. Lake Shore Dr.
Chicago, IL"
Mon,08/20/2018,Rowan Park,(773) 646-3180,Moana,Y,PG,The Forest Preserve District of Cook County,11546 S. Avenue L,"11546 S. Avenue L
Chicago, IL
(41.685148, -87.53645)"
Tue,06/26/2018,Lake Shore Park,(312) 742-7891,Bread and Tulips (Pane e Tulipani),Y,PG-13,The Italian Cultural Institute,808 N. Lake Shore Dr.,"808 N. Lake Shore Dr.
Chicago, IL
(41.897388, -87.617422)"
Sun,06/17/2018,Churchill Field Playlot Park,(312) 742-7554,Jumanji: Welcome to the Jungle,Y,PG-13,The Bucktown Community Organization,1825 N. Damen Ave.,"1825 N. Damen Ave.
Chicago, IL
(41.914792, -87.677554)"
Wed,06/27/2018,Piotrowski Park,(312) 745-4801,Help Me Make it Through the Night / Ayudame a pasar la noche,Y,NR,The International Latino Cultural Center,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836817, -87.730787)"
Mon,08/13/2018,South Shore Cultural Center,(773) 256-0149,"Roman J. Israel, Esq.",Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)"
Mon,07/23/2018,River Park,(312) 742-7516,Sing,Y,PG,,5100 N. Francisco Ave.,"5100 N. Francisco Ave.
Chicago, IL
(41.973861, -87.701292)"
Sat,06/16/2018,Pulaski Park,(312) 742-7559,Guardians of the Galaxy Vol. 2,Y,PG-13,,1419 W. Blackhawk St.,"1419 W. Blackhawk St.
Chicago, IL
(41.907049, -87.663404)"
Mon,08/27/2018,South Shore Cultural Center,(773) 256-0149,Jumanji: Welcome to the Jungle,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)"
Thu,08/09/2018,Skinner Park,(312) 746-5560,Black Panther,Y,PG-13,,1331 W. Monroe St.,"1331 W. Monroe St.
Chicago, IL
(41.880283, -87.659439)"
Wed,08/08/2018,Loyola Park,(773) 262-8605,Southern Winds / Vientos del Sur,Y,NR,The International Latino Cultural Center,1230 W. Greenleaf Ave.,"1230 W. Greenleaf Ave.
Chicago, IL
(42.010439, -87.661605)"
Wed,08/08/2018,Simons Park,(312) 742-7548,Coco,Y,PG,,1640 N. Drake Ave.,"1640 N. Drake Ave.
Chicago, IL
(41.911382, -87.714974)"
Sat,08/04/2018,Oz Park,(312) 742-7898,Wonder Woman,Y,PG-13,The Oz Park Advisory Council,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL
(41.919044, -87.647303)"
Fri,06/22/2018,Hermitage Park,(312) 747-6179,Beauty and the Beast,Y,PG,,5839 S. Wood St.,"5839 S. Wood St.
Chicago, IL
(41.787188, -87.669237)"
Tue,08/07/2018,West Lawn Park,(773) 284-2803,Despicable Me 3,Y,PG,,4233 W. 65th St.,"4233 W. 65th St.
Chicago, IL
(41.774943, -87.728278)"
Mon,08/13/2018,Belmont Harbor,(312) 742-1134,Bringing Up Baby,N,NR,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL
(41.940216, -87.63955)"
Tue,06/19/2018,Gill Park,(312) 742-7802,The Sandlot,Y,PG,JCC Chicago,825 W. Sheridan Rd.,"825 W. Sheridan Rd.
Chicago, IL
(41.952738, -87.650669)"
Thu,06/14/2018,McKiernan Playground Park,(312) 747-2883,Ghostbusters (1984),Y,PG-13,,10714 S. Sawyer Ave.,"10714 S. Sawyer Ave.
Chicago, IL
(41.698418, -87.702276)"
Sun,07/15/2018,Piotrowski Park,(312) 745-4801,Footloose,Y,PG,,4247 W. 31st St.,"4247 W. 31st St.
Chicago, IL
(41.836817, -87.730787)"
Sat,06/23/2018,Osterman Beach,(312) 742-1134,West Side Story,Y,NR,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL"
Thu,08/23/2018,Fosco Park,(312) 746-5086,Hidden Figures,Y,PG,,1312 S. Racine Ave,"1312 S. Racine Ave
Chicago, IL
(41.864757, -87.65661)"
Wed,06/20/2018,Harrison Park,(312) 746-5491,Broche de Oro: Beginnings / Broche de Oro: Comienzos,Y,NR,The International Latino Cultural Center,1824 S. Wood St.,"1824 S. Wood St.
Chicago, IL
(41.856825, -87.671063)"
Sun,08/26/2018,Hoyne Playground Park,(312) 747-6184,Brave,Y,PG,The Museum of Science and Industry,3417 S. Hamiltion Ave.,"3417 S. Hamiltion Ave.
Chicago, IL
(41.831627, -87.678962)"
Wed,07/18/2018,Gage Park,(312) 747-6147,Home Team (Mi Mundial),Y,NR,The International Latino Cultural Center,2411 W. 55th St.,"2411 W. 55th St.
Chicago, IL
(41.7939, -87.684688)"
Thu,08/23/2018,Wilson (Frank J.) Park,(773) 685-6454,A Dog's Purpose,Y,PG,,4630 N. Milwaukee Ave.,"4630 N. Milwaukee Ave.
Chicago, IL
(41.964711, -87.757983)"
Sat,06/16/2018,DuSable Museum of African American History,(312) 742-1134,Marshall,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)"
Sat,07/21/2018,Peterson Park,(312) 742-7584,Jumanji: Welcome to the Jungle,Y,PG-13,,5801 N. Pulaski Rd.,"5801 N. Pulaski Rd.
Chicago, IL
(41.986333, -87.728537)"
Wed,06/20/2018,Chicago History Museum,(312) 742-1134,The Goonies,Y,PG,The Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL
(41.911789, -87.631947)"
Mon,07/09/2018,Calumet Park,(312) 747-6039,Babe,Y,G,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL
(41.718303, -87.531025)"
Tue,07/10/2018,Webster Park,(312) 745-1479,An American Tail,Y,G,The Greater South Loop Association,1357 S. Indiana Ave.,"1357 S. Indiana Ave.
Chicago, IL
(41.864392, -87.622376)"
Thu,06/14/2018,Wicker Park,(312) 742-7553,The Color Purple,Y,PG-13,The Wormhole Coffee,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.907977, -87.677399)"
Wed,06/20/2018,Grant Park: Logan Monument,(312) 742-1134,Thor: Ragnarok,Y,PG-13,The Greater South Loop Association,900 S. Michigan Ave.,"900 S. Michigan Ave.
Chicago, IL
(41.8706, -87.624217)"
Tue,08/14/2018,Kells Playground Park,(312) 742-7544,Moana,Y,PG,The Bickerdike Redevelopment Corp.,3201 W. Chicago Ave.,"3201 W. Chicago Ave.
Chicago, IL
(41.895563, -87.706576)"
Thu,07/19/2018,Senka Park,(312) 747-4386,Despicable Me 3,Y,PG,,5656 S. St. Louis Ave.,"5656 S. St. Louis Ave.
Chicago, IL
(41.790475, -87.710771)"
Sat,08/18/2018,Sauganash Park,(773) 685-6122,Sing,Y,PG,The Edgebrook Sauganash Athletic Association,5861 N. Kostner Ave.,"5861 N. Kostner Ave.
Chicago, IL
(41.987404, -87.738313)"
Mon,08/27/2018,Grant Park: Grove 5,(312) 742-1134,Jurassic Park,Y,PG-13,,800 S. Columbus Dr.,"800 S. Columbus Dr.
Chicago, IL
(41.872058, -87.620555)"
Sun,08/19/2018,Unity Playlot Park,(773) 478-1410,Wonder,Y,PG,The Unity Park Advisory Council,2636 N. Kimball Ave.,"2636 N. Kimball Ave.
Chicago, IL
(41.929239, -87.712198)"
Mon,06/11/2018,Belmont Harbor,(312) 742-1134,Rear Window,Y,PG,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL
(41.940216, -87.63955)"
Fri,08/24/2018,Kelly Park,(312) 747-6197,Coco,Y,PG,,2725 W. 41st St.,"2725 W. 41st St.
Chicago, IL
(41.819371, -87.693257)"
Thu,08/02/2018,Marquette Park,(312) 747-6469,Coco,Y,PG,,6743 S. Kedzie Ave.,"6743 S. Kedzie Ave.
Chicago, IL
(41.77132, -87.702908)"
Fri,08/24/2018,Wrightwood Park,(312) 742-7816,Star Wars: The Last Jedi,Y,PG-13,,2534 N. Greenview Ave.,"2534 N. Greenview Ave.
Chicago, IL
(41.927985, -87.665809)"
Sat,07/21/2018,DuSable Museum of African American History,(312) 742-1134,Jumanji: Welcome to the Jungle,Y,PG-13,The DuSable Museum of African American History,740 E. 56th Pl.,"740 E. 56th Pl.
Chicago, IL
(41.793186, -87.605804)"
Mon,08/13/2018,Webster Park,(312) 745-1479,Back to the Future,Y,PG,The Greater South Loop Association,1357 S. Indiana Ave.,"1357 S. Indiana Ave.
Chicago, IL
(41.864392, -87.622376)"
Wed,07/25/2018,Heritage Green,(312) 746-5494,Wonder Woman,Y,PG-13,The West Loop Community Organization,610-30 W. Adams St.,"610-30 W. Adams St.
Chicago, IL
(41.879284, -87.642727)"
Fri,06/15/2018,Brooks Park,(773) 631-4401,Back to the Future,Y,PG,The Edison Park Chamber of Commerce,7100 N. Harlem Ave.,"7100 N. Harlem Ave.
Chicago, IL
(42.009873, -87.806655)"
Thu,08/02/2018,Austin Town Hall Park,(773) 287-7658,Jumanji: Welcome to the Jungle,Y,PG-13,,5610 W. Lake St.,"5610 W. Lake St.
Chicago, IL
(41.887286, -87.765528)"
Tue,07/17/2018,Beverly Park,(312) 747-6024,"Monsters, Inc.",Y,G,,2460 W. 102nd St.,"2460 W. 102nd St.
Chicago, IL
(41.708192, -87.68277)"
Thu,07/05/2018,Dunbar Park,(312) 747-6287,Wonder Woman,Y,PG-13,,300 E. 31st St.,"300 E. 31st St.
Chicago, IL
(41.838421, -87.618745)"
Thu,08/16/2018,Clarendon Park Community Center,(312) 742-7512,Black Panther,Y,PG-13,,4501 N. Clarendon Ave.,"4501 N. Clarendon Ave.
Chicago, IL
(41.963681, -87.649962)"
Mon,09/10/2018,South Shore Cultural Center,(773) 256-0149,Black Panther,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL
(41.766242, -87.562783)"
Fri,08/03/2018,Dvorak Park,(312) 746-5083,Jumanji: Welcome to the Jungle,Y,PG-13,,1119 W. Cullerton St.,"1119 W. Cullerton St.
Chicago, IL
(41.855228, -87.65395)"
Fri,07/13/2018,Taylor Park,(312) 747-6728,Jumanji: Welcome to the Jungle,Y,PG-13,,39 W. 47th St.,"39 W. 47th St.
Chicago, IL
(41.809187, -87.627869)"
Fri,08/24/2018,Garfield Park,(312) 746-5092,Hidden Figures,Y,PG,,100 N. Central Park Ave.,"100 N. Central Park Ave.
Chicago, IL
(41.881566, -87.715877)"
Sat,07/21/2018,Bradley Park,(312) 747-6022,Wonder,Y,PG,,9729 S.Yates Ave.,"9729 S.Yates Ave.
Chicago, IL"
Wed,08/22/2018,Union Park,(312) 746-5494,Star Wars: The Last Jedi,Y,PG-13,The West Loop Community Organization,1501 W. Randolph St.,"1501 W. Randolph St.
Chicago, IL
(41.884747, -87.66427)"
Sat,08/04/2018,O'Hallaren Park,(312) 747-6573,Justice League,Y,PG-13,,8335 S. Honore St.,"8335 S. Honore St.
Chicago, IL
(41.742791, -87.669235)"
Wed,07/11/2018,Kelvyn Park,(312) 742-7547,Broche de Oro: Beginnings / Broche de Oro: Comienzos,Y,NR,The International Latino Cultural Center,4438 W. Wrightwood Ave.,"4438 W. Wrightwood Ave.
Chicago, IL
(41.928651, -87.738278)"
Sat,06/16/2018,Winnemac Park,(312) 742-5101,Wonder Woman,Y,PG-13,,5100 N. Leavitt St,"5100 N. Leavitt St
Chicago, IL
(41.974286, -87.684226)"
Sat,07/28/2018,Loyola Park,(773) 262-8605,Wonder,Y,PG,,1230 W. Greenleaf Ave.,"1230 W. Greenleaf Ave.
Chicago, IL
(42.010439, -87.661605)"
Wed,08/15/2018,Hamlin Park,(312) 742-7785,Ferdinand,Y,PG,,3035 N. Hoyne Ave.,"3035 N. Hoyne Ave.
Chicago, IL
(41.93713, -87.680689)"
Thu,07/12/2018,Normandy Playground Park,(773) 229-1421,Rogue One,Y,PG-13,,6660 W. 52nd St.,"6660 W. 52nd St.
Chicago, IL
(41.797751, -87.788917)"
Sun,07/15/2018,Emmerson Park,(773) 761-0433,The Emoji Movie,Y,PG,,1820 W. Granville Ave.,"1820 W. Granville Ave.
Chicago, IL
(41.994338, -87.676586)"
Thu,08/09/2018,Wicker Park,(312) 742-7553,The Associate,Y,PG-13,The Wicker Park Bucktown Chamber Members,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL
(41.907977, -87.677399)"
Wed,06/13/2018,Kilbourn Park,(773) 685-3351,Space Jam,Y,PG,,3501 N. Kilbourn Ave.,"3501 N. Kilbourn Ave.
Chicago, IL
(41.944504, -87.739651)"
Tue,06/19/2018,Senn Playlot Park,(312) 742-7502,Jumanji: Welcome to the Jungle,Y,PG-13,,5887 N. Ridge Ave.,"5887 N. Ridge Ave.
Chicago, IL
(41.988713, -87.668464)"
Sat,08/11/2018,Museum of Science and Industry,(773) 684-1414,The Incredibles,Y,PG,The Museum of Science and Industry,5700 S. Lake Shore Dr.,"5700 S. Lake Shore Dr.
Chicago, IL
(41.792018, -87.580307)"
